"path","exists","head","branch","detached","commonGit","dirty","staged","unstaged","untracked","upstream","ahead","behind","lastSubject","lastDate","headIsAncestorOfAlpha","alphaIsAncestorOfHead"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-ledger-commit-boundary-v1","True","6a332c4969f681ef46e9b4c44f15a75a64ea265c","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add partial refund durable ledger foundation v1","2026-08-06 12:43:02 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-ledger-service-adapter-v1","True","6a2420e829280aa951f4f87150c820d6b6c45e04","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add partial refund reservation service adapter v1","2026-08-06 15:20:17 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-path-v1","True","c902eb9934633d7ca31db8f3eea1b4766668c4a4","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add partial refund calculation foundation v1","2026-08-06 12:06:50 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-provider-money-execution-v1","True","4291bdbfb395b00a9c9cc5aa0d05d560a1e672ab","office/commerce-partial-refund-provider-money-execution-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","True","3","0","0","origin/office/commerce-partial-refund-provider-money-execution-v1","0","17","test(commerce): harden provider money execution closeout v1","2026-08-07 21:54:15 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-reservation-accounting-audit-review-v1","True","191924178723f1ee9d3f5e42dba966451e735a0e","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add partial refund accounting review surface v1","2026-08-06 16:12:40 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-reservation-actions-wiring-v1","True","5d4bf186efc3eff55431127965a0666e4c4ff512","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add partial refund reservation actions wiring v1","2026-08-06 15:49:17 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-reservation-stuck-committing-recovery-v1","True","8e16c8c108d418457ccdcbeb2ed542cca4d30472","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add stuck committing refund recovery v1","2026-08-06 19:18:39 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-rpc-remote-apply-readiness-v1","True","078e26441ef8a33b9481f28d1d6d685a52c60776","office/commerce-partial-refund-rpc-remote-apply-readiness-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-partial-refund-rpc-remote-apply-readiness-v1","0","0","docs(commerce): close partial refund remote apply v1","2026-08-06 14:34:33 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-product-production-readiness-audit-v1","True","4fc166c6a299475d345658abf2ef41e22aba5af0","office/commerce-product-production-readiness-audit-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-product-production-readiness-audit-v1-current","0","0","feat(commerce): add product production readiness audit","2026-08-02 11:10:27 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-production-integration-preparation-v1","True","88d45f322cfb7e45545bd8d6a29e6b32ff4be563","office/commerce-production-integration-preparation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-production-integration-preparation-v1","0","0","docs(commerce): add production rollout runbooks","2026-08-02 10:26:12 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-production-readiness-docs-gate-v1","True","e4d9a8d3ca89a3c41f8a9c3be727a7f8a62ccbaf","office/commerce-production-readiness-docs-gate-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","docs(commerce): persist final commerce handoff v1","2026-08-02 22:47:04 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-refund-operations-surface-v1","True","100c98ea1412599535c2bb25e69b19bfa71790f8","office/commerce-refund-operations-surface-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-refund-operations-surface-v1","0","0","feat(commerce): add refund operations surface v1","2026-07-31 23:25:43 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-refund-operations-surface-v1-current","True","a933624f9a5c428b480b667e24a176c8e4e9c4b0","office/commerce-refund-operations-surface-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-refund-operations-surface-v1-current","0","0","feat(commerce): add refund operations surface v1","2026-08-02 11:50:13 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-remote-migration-blocker-remediation-v1","True","6aa7a84abd81c2482bb4f20e618335509f4022ed","office/commerce-remote-migration-blocker-remediation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-remote-migration-blocker-remediation-v1","0","0","chore(commerce): remove accidental tracked status artifact","2026-08-05 15:13:13 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-remote-migration-preflight-v1","True","5166c950405f2073d662c70e1f14becfddca4772","office/commerce-remote-migration-preflight-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-remote-migration-preflight-v1","0","0","docs(commerce): add remote migration preflight v1","2026-08-01 13:36:30 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-remote-migration-preflight-v1-current","True","2dc6dfd01b5f75ec93673b50f98edc6d41fcdd71","office/commerce-remote-migration-preflight-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-remote-migration-preflight-v1-current","0","0","docs(commerce): add remote migration preflight v1","2026-08-02 16:14:29 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-live-payout-manual-ops-drill-v1","True","6b1dc297ba80c362fda7d97820390baf925b7c84","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","docs(commerce): prepare controlled payout drill readiness","2026-08-06 11:23:05 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-live-payout-provider-v1","True","3ebe1841ee04db9cc9d58f15b1080965854fd7fe","office/commerce-seller-live-payout-provider-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-seller-live-payout-provider-v1","0","0","fix(commerce): renumber and apply payout migrations safely","2026-08-06 10:41:55 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-live-payout-provider-v1-sot","True","8e16c8c108d418457ccdcbeb2ed542cca4d30472","office/commerce-seller-live-payout-provider-v1-sot","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add stuck committing refund recovery v1","2026-08-06 19:18:39 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-payout-rails-v1","True","9a93fc95cd928730ad7e2bfa59560e47da4a5d2b","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(commerce): add seller payout rails v1","2026-07-31 22:42:30 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-payout-rails-v1-current","True","b6a3bf6dcd87ac959d25b369682609e9c69a4010","office/commerce-seller-payout-rails-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-seller-payout-rails-v1-current","0","0","feat(commerce): add seller payout rails v1","2026-08-02 11:39:18 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-settlement-migration-remote-apply-v1","True","9fb7a05bad84f7b100de39c47bb96a6dd97c9fb1","office/commerce-settlement-migration-remote-apply-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","ops(commerce): repair migration history for 20260822 and 20260823","2026-08-02 17:49:31 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-sot-unification-stock-drift-v1","True","e4d9a8d3ca89a3c41f8a9c3be727a7f8a62ccbaf","office/commerce-sot-unification-stock-drift-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-sot-unification-stock-drift-v1","0","0","docs(commerce): persist final commerce handoff v1","2026-08-02 22:47:04 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-stripe-production-gate-readiness-v2","True","e4d9a8d3ca89a3c41f8a9c3be727a7f8a62ccbaf","office/commerce-stripe-production-gate-readiness-v2","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","docs(commerce): persist final commerce handoff v1","2026-08-02 22:47:04 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-supplier-listing-create-hardening-v1","True","82b360645049320c463949f5f85b4bc67f21a34b","office/commerce-supplier-listing-create-hardening-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-supplier-listing-create-hardening-v1","0","0","feat(commerce): harden supplier listing creation","2026-08-02 10:06:50 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-transactional-notifications-v1","True","674b4d118367d775f34d620a70d72bf2dbce964d","office/commerce-transactional-notifications-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-transactional-notifications-v1","0","0","feat(commerce): add transactional notifications v1","2026-07-31 22:16:40 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-transactional-notifications-v1-current","True","2c118523343dac96611364ad387524d6c10ce525","office/commerce-transactional-notifications-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-transactional-notifications-v1-current","0","0","feat(commerce): add transactional notifications v1","2026-08-02 11:26:39 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-gemini-live-provider-v1","True","30bda6a66248841ed4dd0b64984e4b5d81e40712","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(ai): harden Gemini live provider v1","2026-07-31 13:39:29 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-integration-alpha-beta-productization-v1","True","71dfec204dd06a0058918831aac1e937108f4de8","integration/alpha-beta-productization-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/integration/alpha-beta-productization-v1","0","0","docs(ai): record Alpha Beta Productization handoff state","2026-07-29 21:35:55 +0300","YES","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-integration-w1-revenue","True","a1bde1f598d1c1a28515f7e61ad426f6ed7c800c","integration/w1-revenue","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/integration/w1-revenue","0","0","feat(revenue): add unified revenue platform foundation","2026-07-29 17:14:12 +0300","YES","NO"
